song,artist,uri,features_danceability,features_energy,features_key,features_loudness,features_mode,features_speechiness,features_acousticness,features_instrumentalness,features_liveness,features_valence,features_tempo,features_type,features_id,features_uri,features_track_href,features_analysis_url,features_duration_ms,features_time_signature
Run Away,dvsn,spotify:track:0xD824qQkuonQNHe2dSeI4,0.764,0.33,2,-12.801,0,0.0427,0.1,0.506,0.139,0.0686,119.978,audio_features,0xD824qQkuonQNHe2dSeI4,spotify:track:0xD824qQkuonQNHe2dSeI4,https://api.spotify.com/v1/tracks/0xD824qQkuonQNHe2dSeI4,https://api.spotify.com/v1/audio-analysis/0xD824qQkuonQNHe2dSeI4,140293,4
L$D,A$AP Rocky,spotify:track:4S7YHmlWwfwArgd8LfSPud,0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,audio_features,4S7YHmlWwfwArgd8LfSPud,spotify:track:4S7YHmlWwfwArgd8LfSPud,https://api.spotify.com/v1/tracks/4S7YHmlWwfwArgd8LfSPud,https://api.spotify.com/v1/audio-analysis/4S7YHmlWwfwArgd8LfSPud,238307,4
Studio,ScHoolboy Q,spotify:track:29gsi1zZrZxdStACmTQB0Z,0.709,0.589,8,-7.776,0,0.0433,0.0507,0,0.0585,0.58,133.922,audio_features,29gsi1zZrZxdStACmTQB0Z,spotify:track:29gsi1zZrZxdStACmTQB0Z,https://api.spotify.com/v1/tracks/29gsi1zZrZxdStACmTQB0Z,https://api.spotify.com/v1/audio-analysis/29gsi1zZrZxdStACmTQB0Z,278067,3
OTW,Khalid,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989,audio_features,6Hgh47WXVKtXN5zGOu0hjI,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,263014,4
Silence,Marshmello,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,audio_features,7vGuf3Y35N4wmASOKLUVVU,spotify:track:7vGuf3Y35N4wmASOKLUVVU,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,180823,4
I Fall Apart,Post Malone,spotify:track:2mdxJLJHzFmiiYdTZ8JcyH,0.565,0.55,8,-5.357,0,0.0397,0.0782,0,0.196,0.302,143.927,audio_features,2mdxJLJHzFmiiYdTZ8JcyH,spotify:track:2mdxJLJHzFmiiYdTZ8JcyH,https://api.spotify.com/v1/tracks/2mdxJLJHzFmiiYdTZ8JcyH,https://api.spotify.com/v1/audio-analysis/2mdxJLJHzFmiiYdTZ8JcyH,223347,4
Psycho (feat. Ty Dolla $ign),Post Malone,spotify:track:7wrDRQgHlvDnimrRHfQZxt,0.748,0.546,8,-8.134,1,0.106,0.59,0,0.112,0.413,140.005,audio_features,7wrDRQgHlvDnimrRHfQZxt,spotify:track:7wrDRQgHlvDnimrRHfQZxt,https://api.spotify.com/v1/tracks/7wrDRQgHlvDnimrRHfQZxt,https://api.spotify.com/v1/audio-analysis/7wrDRQgHlvDnimrRHfQZxt,220880,4
Congratulations,Post Malone,spotify:track:6syOdAs4IK8kPWR7gDyjRw,0.629,0.817,6,-4.261,1,0.0357,0.199,0,0.317,0.466,123.087,audio_features,6syOdAs4IK8kPWR7gDyjRw,spotify:track:6syOdAs4IK8kPWR7gDyjRw,https://api.spotify.com/v1/tracks/6syOdAs4IK8kPWR7gDyjRw,https://api.spotify.com/v1/audio-analysis/6syOdAs4IK8kPWR7gDyjRw,220293,4
Go Flex,Post Malone,spotify:track:2rgP2WKh9eDa5boVA4ez4T,0.668,0.49,5,-8.274,1,0.119,0.253,0,0.0718,0.122,81.985,audio_features,2rgP2WKh9eDa5boVA4ez4T,spotify:track:2rgP2WKh9eDa5boVA4ez4T,https://api.spotify.com/v1/tracks/2rgP2WKh9eDa5boVA4ez4T,https://api.spotify.com/v1/audio-analysis/2rgP2WKh9eDa5boVA4ez4T,179613,4
Too Young,Post Malone,spotify:track:7mF7fA6DsIMAJy9O0TDWV3,0.606,0.631,11,-6.475,0,0.0607,0.293,7.95e-05,0.0834,0.265,123.018,audio_features,7mF7fA6DsIMAJy9O0TDWV3,spotify:track:7mF7fA6DsIMAJy9O0TDWV3,https://api.spotify.com/v1/tracks/7mF7fA6DsIMAJy9O0TDWV3,https://api.spotify.com/v1/audio-analysis/7mF7fA6DsIMAJy9O0TDWV3,237147,4
